INFO 2025-07-27 09:02:53,489 autoreload 18092 7720 Watching for file changes with StatReloader
INFO 2025-07-27 09:07:02,796 basehttp 18092 7856 "GET /api/accounts/profile/ HTTP/1.1" 200 234
INFO 2025-07-27 09:07:07,875 basehttp 18092 7608 "GET /media/company_profiles/photo_2025-03-08_08-53-56_eOuUWmH.jpg HTTP/1.1" 200 66739
INFO 2025-07-27 09:10:52,554 basehttp 18092 19952 "GET /api/accounts/profile/ HTTP/1.1" 200 234
INFO 2025-07-27 09:10:52,566 basehttp 18092 19952 "GET /api/accounts/profile/ HTTP/1.1" 200 234
INFO 2025-07-27 09:10:52,685 basehttp 18092 13220 "GET /media/company_profiles/photo_2025-03-08_08-53-56_eOuUWmH.jpg HTTP/1.1" 200 66739
INFO 2025-07-27 09:10:56,349 basehttp 18092 19952 "GET /api/accounts/profile/ HTTP/1.1" 200 234
INFO 2025-07-27 09:10:56,381 basehttp 18092 19952 "GET /api/accounts/profile/ HTTP/1.1" 200 234
INFO 2025-07-27 09:10:56,416 basehttp 18092 13220 "GET /media/company_profiles/photo_2025-03-08_08-53-56_eOuUWmH.jpg HTTP/1.1" 200 66739
INFO 2025-07-27 09:10:57,746 basehttp 18092 19952 "GET /api/accounts/profile/ HTTP/1.1" 200 234
INFO 2025-07-27 09:10:57,759 basehttp 18092 19952 "GET /api/accounts/profile/ HTTP/1.1" 200 234
INFO 2025-07-27 09:12:29,482 basehttp 18092 13660 "OPTIONS /api/accounts/auth/logout/ HTTP/1.1" 200 0
INFO 2025-07-27 09:12:30,435 basehttp 18092 13660 "POST /api/accounts/auth/logout/ HTTP/1.1" 200 37
INFO 2025-07-27 09:12:40,097 basehttp 18092 14748 "POST /api/accounts/auth/logout/ HTTP/1.1" 200 37
INFO 2025-07-27 09:12:55,109 basehttp 18092 14748 "GET /api/accounts/profile/ HTTP/1.1" 200 234
INFO 2025-07-27 09:12:55,133 basehttp 18092 4008 "GET /media/company_profiles/photo_2025-03-08_08-53-56_eOuUWmH.jpg HTTP/1.1" 200 66739
INFO 2025-07-27 09:12:55,137 basehttp 18092 14748 "GET /api/accounts/profile/ HTTP/1.1" 200 234
INFO 2025-07-27 09:12:57,626 basehttp 18092 14748 "GET /api/accounts/profile/ HTTP/1.1" 200 234
INFO 2025-07-27 09:12:57,705 basehttp 18092 14748 "GET /api/accounts/profile/ HTTP/1.1" 200 234
INFO 2025-07-27 09:12:57,734 basehttp 18092 4008 "GET /media/company_profiles/photo_2025-03-08_08-53-56_eOuUWmH.jpg HTTP/1.1" 200 66739
INFO 2025-07-27 09:12:59,864 basehttp 18092 14748 "POST /api/accounts/auth/logout/ HTTP/1.1" 200 37
INFO 2025-07-27 09:13:02,251 basehttp 18092 14748 "GET /api/accounts/profile/ HTTP/1.1" 200 234
INFO 2025-07-27 09:13:02,282 basehttp 18092 14748 "GET /api/accounts/profile/ HTTP/1.1" 200 234
INFO 2025-07-27 09:13:03,433 basehttp 18092 14748 "GET /api/accounts/profile/ HTTP/1.1" 200 234
INFO 2025-07-27 09:13:03,447 basehttp 18092 14748 "GET /api/accounts/profile/ HTTP/1.1" 200 234
WARNING 2025-07-27 09:13:45,249 log 18092 15504 Unauthorized: /admin/accounts/contactmessage/
WARNING 2025-07-27 09:13:45,249 basehttp 18092 15504 "GET /admin/accounts/contactmessage/ HTTP/1.1" 401 29
INFO 2025-07-27 09:13:52,614 basehttp 18092 9576 "GET /api/accounts/profile/ HTTP/1.1" 200 234
INFO 2025-07-27 09:13:53,114 basehttp 18092 9576 "GET /api/accounts/profile/ HTTP/1.1" 200 234
WARNING 2025-07-27 09:13:53,767 log 18092 15504 Not Found: /favicon.ico
WARNING 2025-07-27 09:13:53,768 basehttp 18092 15504 "GET /favicon.ico HTTP/1.1" 404 3803
INFO 2025-07-27 09:13:56,966 basehttp 18092 24436 "GET /admin HTTP/1.1" 301 0
INFO 2025-07-27 09:13:57,025 basehttp 18092 8036 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-07-27 09:13:57,406 basehttp 18092 8036 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4173
INFO 2025-07-27 09:14:00,248 basehttp 18092 8036 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-07-27 09:14:00,307 basehttp 18092 8036 "GET /admin/ HTTP/1.1" 200 14048
INFO 2025-07-27 09:14:00,440 basehttp 18092 8036 "GET /static/admin/img/icon-deletelink.svg HTTP/1.1" 200 392
INFO 2025-07-27 09:14:02,843 basehttp 18092 8036 "GET /admin/accounts/company/ HTTP/1.1" 200 13204
INFO 2025-07-27 09:14:02,982 basehttp 18092 8036 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-07-27 09:14:04,839 basehttp 18092 8036 "GET /admin/auth/user/ HTTP/1.1" 200 17745
INFO 2025-07-27 09:14:04,885 basehttp 18092 8036 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-07-27 09:14:09,951 basehttp 18092 3872 "GET /media/company_profiles/photo_2025-03-08_08-53-56_eOuUWmH.jpg HTTP/1.1" 200 66739
INFO 2025-07-27 09:14:10,259 basehttp 18092 14644 "GET /api/accounts/profile/ HTTP/1.1" 200 234
INFO 2025-07-27 09:14:10,302 basehttp 18092 14644 "GET /api/accounts/profile/ HTTP/1.1" 200 234
INFO 2025-07-27 09:14:15,924 basehttp 18092 6460 "OPTIONS /api/accounts/users/all/ HTTP/1.1" 200 0
INFO 2025-07-27 09:14:15,925 basehttp 18092 6680 "OPTIONS /api/accounts/users/all/ HTTP/1.1" 200 0
INFO 2025-07-27 09:14:15,943 basehttp 18092 6680 "GET /api/accounts/users/all/ HTTP/1.1" 200 1976
INFO 2025-07-27 09:14:15,968 basehttp 18092 6680 "GET /api/accounts/users/all/ HTTP/1.1" 200 1976
INFO 2025-07-27 09:14:40,036 basehttp 18092 23296 "OPTIONS /api/accounts/admin/messages/ HTTP/1.1" 200 0
INFO 2025-07-27 09:14:40,077 basehttp 18092 23296 "GET /api/accounts/admin/messages/ HTTP/1.1" 200 4086
INFO 2025-07-27 09:14:46,588 basehttp 18092 23296 "OPTIONS /api/accounts/site-settings/ HTTP/1.1" 200 0
INFO 2025-07-27 09:14:46,660 basehttp 18092 23296 "GET /api/accounts/site-settings/ HTTP/1.1" 200 108
INFO 2025-07-27 09:14:46,669 basehttp 18092 23296 "GET /api/accounts/site-settings/ HTTP/1.1" 200 108
INFO 2025-07-27 09:14:47,199 basehttp 18092 23296 "GET /api/accounts/profile/ HTTP/1.1" 200 234
INFO 2025-07-27 09:14:47,216 basehttp 18092 23296 "GET /api/accounts/profile/ HTTP/1.1" 200 234
INFO 2025-07-27 09:14:47,286 basehttp 18092 8264 "GET /media/company_profiles/photo_2025-03-08_08-53-56_eOuUWmH.jpg HTTP/1.1" 200 66739
INFO 2025-07-27 09:14:49,467 basehttp 18092 23296 "OPTIONS /api/accounts/auth/logout/ HTTP/1.1" 200 0
INFO 2025-07-27 09:14:49,489 basehttp 18092 23296 "POST /api/accounts/auth/logout/ HTTP/1.1" 200 37
INFO 2025-07-27 09:14:59,054 basehttp 18092 1928 "OPTIONS /api/accounts/auth/login/ HTTP/1.1" 200 0
INFO 2025-07-27 09:14:59,696 basehttp 18092 1928 "POST /api/accounts/auth/login/ HTTP/1.1" 200 652
INFO 2025-07-27 09:15:01,847 basehttp 18092 15216 "GET /api/accounts/profile/ HTTP/1.1" 200 234
INFO 2025-07-27 09:15:01,876 basehttp 18092 15216 "GET /api/accounts/profile/ HTTP/1.1" 200 234
INFO 2025-07-27 09:15:06,349 basehttp 18092 15216 "GET /api/accounts/profile/ HTTP/1.1" 200 234
INFO 2025-07-27 09:15:06,375 basehttp 18092 15216 "GET /api/accounts/profile/ HTTP/1.1" 200 234
INFO 2025-07-27 09:15:19,046 basehttp 18092 23940 "GET /media/company_profiles/photo_2025-03-08_08-53-56_eOuUWmH.jpg HTTP/1.1" 200 66739
INFO 2025-07-27 09:15:19,345 basehttp 18092 8536 "GET /api/accounts/profile/ HTTP/1.1" 200 234
INFO 2025-07-27 09:15:19,351 basehttp 18092 8536 "GET /api/accounts/profile/ HTTP/1.1" 200 234
INFO 2025-07-27 09:15:26,092 basehttp 18092 17876 "GET /admin/auth/user/22/change/ HTTP/1.1" 200 27752
INFO 2025-07-27 09:15:26,161 basehttp 18092 17876 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-07-27 09:15:31,783 basehttp 18092 15484 "POST /admin/auth/user/22/change/ HTTP/1.1" 302 0
INFO 2025-07-27 09:15:31,808 basehttp 18092 15484 "GET /admin/auth/user/ HTTP/1.1" 200 17942
INFO 2025-07-27 09:15:31,865 basehttp 18092 15484 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-07-27 09:15:36,251 basehttp 18092 15484 "GET /admin/auth/user/ HTTP/1.1" 200 17745
INFO 2025-07-27 09:15:36,292 basehttp 18092 15484 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-07-27 09:15:38,446 basehttp 18092 15484 "GET /admin/auth/user/22/change/ HTTP/1.1" 200 28337
INFO 2025-07-27 09:15:38,490 basehttp 18092 15484 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-07-27 09:15:47,614 basehttp 18092 12152 "GET /admin/auth/user/ HTTP/1.1" 200 17745
INFO 2025-07-27 09:16:15,311 basehttp 18092 18400 "GET /api/accounts/profile/ HTTP/1.1" 200 234
INFO 2025-07-27 09:16:15,320 basehttp 18092 18400 "GET /api/accounts/profile/ HTTP/1.1" 200 234
INFO 2025-07-27 09:16:15,347 basehttp 18092 22560 "GET /media/company_profiles/photo_2025-03-08_08-53-56_eOuUWmH.jpg HTTP/1.1" 200 66739
INFO 2025-07-27 09:16:33,877 basehttp 18092 13668 "GET /admin/auth/user/22/change/ HTTP/1.1" 200 28337
INFO 2025-07-27 09:16:33,930 basehttp 18092 13668 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-07-27 09:16:41,316 basehttp 18092 20548 "POST /admin/auth/user/22/change/ HTTP/1.1" 302 0
INFO 2025-07-27 09:16:41,340 basehttp 18092 20548 "GET /admin/auth/user/ HTTP/1.1" 200 17942
INFO 2025-07-27 09:16:41,384 basehttp 18092 20548 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-07-27 09:16:45,542 basehttp 18092 20548 "GET /admin/auth/user/ HTTP/1.1" 200 17745
INFO 2025-07-27 09:16:45,575 basehttp 18092 20548 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-07-27 09:16:47,750 basehttp 18092 20548 "GET /admin/auth/user/22/change/ HTTP/1.1" 200 28345
INFO 2025-07-27 09:16:47,794 basehttp 18092 20548 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-07-27 09:16:56,818 basehttp 18092 11548 "POST /admin/auth/user/22/change/ HTTP/1.1" 302 0
INFO 2025-07-27 09:16:56,845 basehttp 18092 11548 "GET /admin/auth/user/ HTTP/1.1" 200 17942
INFO 2025-07-27 09:16:56,882 basehttp 18092 11548 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
